,EP_PLATFORM_ID,EP_PLATFORM_TYPE,EP_PLATFORM_CODE,EP_PLATFORM_LINK,TIME_QC (1),latitude (degrees_north),longitude (degrees_east),SLEV_QC (1),SLEV_DM,site_code,platform_code,platform_name,pi_name,area,author,source,contributor_name,contributor_url,data_assembly_center,institution_edmo_code,institution_references,institution,wmo_platform_code
61375808,8517,TG,DieppeTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8517,1,49.93,1.085,0,\u0000,,DieppeTG,Dieppe,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
61973065,8517,TG,DieppeTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8517,1,49.93,1.085,4,\u0000,,DieppeTG,Dieppe,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
62346207,8517,TG,DieppeTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8517,1,49.93,1.085,3,\u0000,,DieppeTG,Dieppe,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
63041890,8524,TG,DunkerqueTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8524,1,51.0482,2.3665,0,\u0000,,DunkerqueTG,Dunkerque,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
63041910,8524,TG,DunkerqueTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8524,1,51.0482,2.3665,1,\u0000,,DunkerqueTG,Dunkerque,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
67183382,8524,TG,DunkerqueTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8524,1,51.0482,2.3665,4,\u0000,,DunkerqueTG,Dunkerque,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
67282042,8524,TG,DunkerqueTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8524,1,51.0482,2.3665,3,\u0000,,DunkerqueTG,Dunkerque,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
68248240,638732,TG,FatouvilleTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=638732,1,49.43179,0.31596,1,\u0000,,FatouvilleTG,Fatouville,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
68248358,8566,TG,FortDeFranceTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8566,1,14.601,-61.063,1,\u0000,,FortDeFranceTG,Fort-De-France,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
71226643,8566,TG,FortDeFranceTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8566,1,14.601,-61.063,0,\u0000,,FortDeFranceTG,Fort-De-France,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
71632483,8566,TG,FortDeFranceTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8566,1,14.601,-61.063,3,\u0000,,FortDeFranceTG,Fort-De-France,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
71632489,8566,TG,FortDeFranceTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8566,1,14.601,-61.063,4,\u0000,,FortDeFranceTG,Fort-De-France,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
73030109,8567,TG,FosSurMerTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8567,1,43.40494,4.89294,1,\u0000,,FosSurMerTG,Fos-sur-Mer,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
76518194,8567,TG,FosSurMerTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8567,1,43.40494,4.89294,7,\u0000,,FosSurMerTG,Fos-sur-Mer,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
76536681,8567,TG,FosSurMerTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8567,1,43.40494,4.89294,0,\u0000,,FosSurMerTG,Fos-sur-Mer,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
77179498,8567,TG,FosSurMerTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8567,1,43.40494,4.89294,4,\u0000,,FosSurMerTG,Fos-sur-Mer,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
77193316,8567,TG,FosSurMerTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8567,1,43.40494,4.89294,3,\u0000,,FosSurMerTG,Fos-sur-Mer,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
78126121,8573,TG,GaletsTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8573,1,-20.92,55.3,1,\u0000,,GaletsTG,Galets,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
81043306,8573,TG,GaletsTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8573,1,-20.92,55.3,0,\u0000,,GaletsTG,Galets,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
81566623,8573,TG,GaletsTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8573,1,-20.92,55.3,4,\u0000,,GaletsTG,Galets,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
82019769,8573,TG,GaletsTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8573,1,-20.92,55.3,3,\u0000,,GaletsTG,Galets,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
82868888,638733,TG,HavreGPMRouenTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=638733,1,49.48378,0.11458,1,\u0000,,HavreGPMRouenTG,Havre GPM Rouen,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
82869006,11354,TG,HerbaudiereTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=11354,1,47.02494,-2.29831,1,\u0000,,HerbaudiereTG,Herbaudiere,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
85120140,11354,TG,HerbaudiereTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=11354,1,47.02494,-2.29831,0,\u0000,,HerbaudiereTG,Herbaudiere,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
85600923,11354,TG,HerbaudiereTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=11354,1,47.02494,-2.29831,4,\u0000,,HerbaudiereTG,Herbaudiere,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
85803382,11354,TG,HerbaudiereTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=11354,1,47.02494,-2.29831,3,\u0000,,HerbaudiereTG,Herbaudiere,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
86912557,368640,TG,HiengheneTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=368640,1,-20.69199,164.94312,1,D,,HiengheneTG,Hienghene,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
92768308,368640,TG,HiengheneTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=368640,1,-20.69199,164.94312,1,R,,HiengheneTG,Hienghene,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
92916625,368640,TG,HiengheneTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=368640,1,-20.69199,164.94312,0,R,,HiengheneTG,Hienghene,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
93299621,368640,TG,HiengheneTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=368640,1,-20.69199,164.94312,4,R,,HiengheneTG,Hienghene,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
93301313,368640,TG,HiengheneTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=368640,1,-20.69199,164.94312,3,R,,HiengheneTG,Hienghene,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
93762915,368972,TG,HivaOaTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=368972,1,-9.80482,-139.03412,1,D,,HivaOaTG,Hiva Oa,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
93780785,368972,TG,HivaOaTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=368972,1,-9.80482,-139.03412,1,R,,HivaOaTG,Hiva Oa,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
94105303,368972,TG,HivaOaTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=368972,1,-9.80482,-139.03412,3,R,,HivaOaTG,Hiva Oa,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
94251719,638734,TG,HonfleurTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=638734,1,49.42833,0.23294,1,\u0000,,HonfleurTG,Honfleur,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
94251833,372769,TG,HuahineTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=372769,1,-16.72156,-151.03246,1,\u0000,,HuahineTG,Huahine,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
94320201,372769,TG,HuahineTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=372769,1,-16.72156,-151.03246,3,\u0000,,HuahineTG,Huahine,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
