SSC ID,Station Name,Country_x,Latitude,Longitude,IOC code,PTWC code,GLOSS ID_x,UHSLC ID,PSMSL ID,SONEL GPS,SONEL TG,Code,GLOSS ID_y,Country_y,Location
SSC-camt,Lerma Campeche,Mexico,19.81,-90.59,camt,,,,,"2992, 2993",2991,camt,,Mexico,Lerma Campeche
SSC-camu,Caja de Muertos,Puerto Rico,17.89,-66.53,camu,camu,,,,,,camu,,Puerto Rico,Caja de Muertos
SSC-carb,Carboneras,Spain,36.97,-1.9,carb,carb,,,,,,carb,,Spain,Carboneras
SSC-cart,Cartagena,Colombia,10.4,-75.55,cart,,207.0,265,"1848, 572",925,2282,carg,,Spain,Cartagena
SSC-cart,Cartagena,Colombia,10.4,-75.55,cart,,207.0,265,"1848, 572",925,2282,cart,207,Colombia,Cartagena
SSC-cartm,Cartagena,Spain,37.6,-0.97,carg,,,,1460,3451,3450,carg,,Spain,Cartagena
SSC-cartm,Cartagena,Spain,37.6,-0.97,carg,,,,1460,3451,3450,cart,207,Colombia,Cartagena
SSC-casc,Cascais,Portugal,38.69,-9.42,casc,,246.0,209,"2201, 52",648,2274,casc,246,Portugal,Cascais
SSC-cast,Castletownbere,Ireland,51.65,-9.9,cast,,330.0,835,1467,,2901,cast,330,Ireland,Castletownbere
SSC-catn,Catania,Italy,37.5,15.09,CT03,cata,,,"102, 2094",2253,2251,CT03,,Italy,Catania
SSC-cbmd,Cambridge,United States,38.57,-76.07,"cbmd, cbmd2",cbmd,,,"1295, 481",694,"2122, 2751",cbmd,,USA,Cambridge
SSC-cbmd,Cambridge,United States,38.57,-76.07,"cbmd, cbmd2",cbmd,,,"1295, 481",694,"2122, 2751",cbmd2,,USA,Cambridge
SSC-cdtt,Cedros Bay,Trinidad and Tobago,10.09,-61.87,cdtt,cdtt,,,,,,cdtt,,Trinidad & Tobago,Cedros Bay
SSC-ceib,La Ceiba Cabotaje Harbor,Honduras,15.79,-86.76,ceib,ceib,,,,,,ceib,,Honduras,La Ceiba Cabotaje Harbor
SSC-cent,Centuri,France,42.97,9.35,"cent, cent2",cent,,,2207,3196,3176,cent,,France,Centuri
SSC-ceut,Ceuta,Spain,35.9,-5.32,"ceut, ceut1",,249.0,207,"1316, 1416, 1485, 1517, 498","1922, 650",2213,ceut,249,Spain,Ceuta
SSC-ceut,Ceuta,Spain,35.9,-5.32,"ceut, ceut1",,249.0,207,"1316, 1416, 1485, 1517, 498","1922, 650",2213,ceut1,,Spain,Ceuta
SSC-cfrt,Carloforte,Italy,39.14,8.31,CF06,,,,2076,,,CF06,,Italy,Carloforte
SSC-char,Charleston,United States,43.35,-124.32,"char, char2",char,,575,1269,3030,3029,chst,,New Zealand,Charleston
SSC-charl,Charleston,United States,32.78,-79.93,,chsc,,261,234,"1894, 2008, 651",2384,chst,,New Zealand,Charleston
SSC-chst,Charleston,New Zealand,-41.9,171.43,chst,,,,,,,chst,,New Zealand,Charleston
SSC-chbe,Chateaubelair,Saint Vincent and the Grenadines,13.29,-61.24,chat,chvg,,,,,,chat,,Saint Vincent & Grenadines,Chateaubelair
SSC-chenn,Chennai,India,13.1,80.3,chenn,chen,34.0,,205,2069,2440,chenn,34,India,Chennai
SSC-cher,Cherbourg,France,49.65,-1.63,"cher, cher2",cher,,,467,"3182, 3183, 3535",1748,cher,,France,Cherbourg
SSC-chij,Chichijima,Japan,27.08,142.18,chij,chij,103.0,47,1391,"2413, 808",2137,chij,103,Japan,Chichijima
SSC-chnr,Chañaral,Chile,-26.35,-70.63,"chnr, chnr2",chnr,,,,,,chnr,,Chile,Chañaral
SSC-chnr,Chañaral,Chile,-26.35,-70.63,"chnr, chnr2",chnr,,,,,,chnr2,,Chile,Chañaral
SSC-chrl,Charlotteville,Trinidad and Tobago,11.32,-60.55,chrl,chrl,,,2007,,,chrl,,Trinidad & Tobago,Charlotteville
SSC-chrp,Cherry Point,United States,48.86,-122.76,"chrp, chrp2",chrp,,,1633,,,chrp,,USA,Cherry Point
SSC-chrp,Cherry Point,United States,48.86,-122.76,"chrp, chrp2",chrp,,,1633,,,chrp2,,USA,Cherry Point
SSC-chrs,Christmas Island,Australia,-10.43,105.67,"chrs, ffcj",chrs,47.0,170,1010,2929,2811,chrs,47,Australia,Christmas Island
SSC-xmas,Christmas Island,Kiribati,1.98,-157.47,xmas,xmas,146.0,11,"1371, 801",,2848,chrs,47,Australia,Christmas Island
SSC-chtt,Chittagong,Bangladesh,22.33,91.83,chtt,chtt,36.0,124,"1573, 2196, 416, 750, 975, 991",3599,2804,chtt,36,Bangladesh,Chittagong
SSC-cila,Cilacap,Indonesia,-7.75,109.0,"cila, cili","cila, cili",291.0,162,"1602, 2199, 272",3413,"2892, 3586",cili,291,Indonesia,Cilacap
SSC-ciut,Ciutadella,Spain,39.99,3.83,ciut,,,,,,,ciut,,Spain,Ciutadella
SSC-civi,Civitavecchia,Italy,42.09,11.79,CI20,ci20,,,"106, 2091",2256,2255,CI20,,Italy,Civitavecchia
SSC-cmet,Caleta Meteoro,Chile,-52.97,-74.07,"cmet, cmet3",cmet,,,,,,cmet,,Chile,Caleta Meteoro
SSC-cmet,Caleta Meteoro,Chile,-52.97,-74.07,"cmet, cmet3",cmet,,,,,,cmet3,,Chile,Caleta Meteoro
SSC-cmnj,Cape May,United States,38.97,-74.96,"cmnj, cmnj2",cmnj,,746,1153,,,cmnj,,USA,Cape May
SSC-cmnj,Cape May,United States,38.97,-74.96,"cmnj, cmnj2",cmnj,,746,1153,,,cmnj2,,USA,Cape May
SSC-cocb,Cocos Island,Australia,-12.12,96.89,cocb,cocb,46.0,171,"1052, 1666, 983",656,2218,cocb,46,Australia,Cocos Island
